01,HJK,IFK_Mariehamn,2,0,5251
02,PK35_Vantaa,RoPS,3,4,2415
03,HJK,VPS,3,1,4799
04,FC_Inter,FC_Lahti,1,1,3406
05,IFK_Mariehamn,RoPS,1,0,1146
06,KuPS,Ilves,0,1,1855
07,PK35_Vantaa,HIFK,0,2,2471
08,PS_Kemi,SJK,3,0,415
09,HIFK,FC_Inter,1,2,2374
10,KuPS,PK35_Vantaa,2,3,1550
11,RoPS,HJK,2,2,2475
12,SJK,IFK_Mariehamn,0,1,2115
13,PS_Kemi,IFK_Mariehamn,1,2,488
14,PK35_Vantaa,VPS,0,2,857
15,FC_Inter,KuPS,3,1,1792
16,FC_Lahti,HIFK,2,2,1911
17,HJK,SJK,2,1,5237
18,KuPS,FC_Lahti,2,0,1602
19,RoPS,PK35_Vantaa,1,0,1785
20,SJK,Ilves,0,2,1782
21,VPS,FC_Inter,0,0,1492
22,IFK_Mariehamn,HJK,0,0,1118
23,HIFK,PS_Kemi,0,0,2218
24,FC_Inter,RoPS,1,2,1815
25,FC_Lahti,VPS,4,0,1477
26,HIFK,KuPS,3,2,2129
27,Ilves,IFK_Mariehamn,0,1,2613
28,PK35_Vantaa,SJK,0,0,1482
29,PS_Kemi,HJK,1,0,2017
30,HJK,Ilves,5,1,6081
31,IFK_Mariehamn,PK35_Vantaa,0,0,1215
32,KuPS,PS_Kemi,2,0,2153
33,VPS,HIFK,3,1,1898
34,RoPS,FC_Lahti,0,0,2412
35,SJK,FC_Inter,1,0,2191
36,KuPS,VPS,1,0,1923
37,PK35_Vantaa,HJK,1,2,2832
38,PS_Kemi,Ilves,1,0,756
39,FC_Inter,IFK_Mariehamn,0,2,2036
40,FC_Lahti,SJK,3,0,2568
41,HIFK,RoPS,1,1,2649
42,Ilves,PK35_Vantaa,2,0,2068
43,RoPS,KuPS,0,1,932
44,VPS,PS_Kemi,0,1,968
45,SJK,HIFK,2,1,1387
46,IFK_Mariehamn,FC_Lahti,3,0,766
47,HJK,FC_Inter,3,1,4951
48,FC_Lahti,HJK,1,2,3647
49,HIFK,IFK_Mariehamn,0,1,2511
50,FC_Inter,Ilves,1,0,1043
51,KuPS,SJK,0,0,905
52,PK35_Vantaa,PS_Kemi,2,2,681
53,VPS,RoPS,1,0,1268
54,IFK_Mariehamn,KuPS,0,3,1392
55,Ilves,FC_Lahti,2,0,2886
56,PK35_Vantaa,FC_Inter,3,1,1247
57,SJK,VPS,1,0,1656
58,HJK,HIFK,2,1,10500
59,FC_Lahti,PK35_Vantaa,2,1,1775
60,RoPS,SJK,2,3,2344
61,FC_Inter,PS_Kemi,0,2,2159
62,HIFK,Ilves,0,1,2455
63,IFK_Mariehamn,VPS,2,2,1103
64,KuPS,HJK,0,0,4457
65,FC_Lahti,FC_Inter,1,0,1513
66,HIFK,PK35_Vantaa,1,2,2816
67,Ilves,KuPS,1,0,2927
68,RoPS,IFK_Mariehamn,0,0,1276
69,SJK,PS_Kemi,1,0,947
70,VPS,HJK,3,0,1292
71,FC_Inter,HIFK,1,0,4760
72,HJK,RoPS,1,1,3102
73,IFK_Mariehamn,SJK,1,0,861
74,Ilves,VPS,1,0,2535
75,PK35_Vantaa,KuPS,1,1,1056
76,PS_Kemi,FC_Lahti,2,1,2357
77,HIFK,FC_Lahti,2,2,2405
78,RoPS,Ilves,1,0,1556
79,SJK,HJK,2,3,5817
80,IFK_Mariehamn,PS_Kemi,2,0,2257
81,KuPS,FC_Inter,2,1,2016
82,PS_Kemi,RoPS,0,2,3976
83,FC_Inter,SJK,1,3,2364
84,VPS,Ilves,2,0,1749
85,FC_Lahti,PS_Kemi,1,0,1852
86,Ilves,SJK,2,1,4075
87,FC_Lahti,KuPS,0,0,1436
88,PS_Kemi,HIFK,1,2,1807
89,FC_Inter,VPS,0,2,1643
90,SJK,PK35_Vantaa,3,2,2931
91,VPS,FC_Lahti,1,0,5902
92,HJK,PS_Kemi,2,0,3657
93,IFK_Mariehamn,Ilves,3,1,1256
94,KuPS,HIFK,1,0,2055
95,RoPS,FC_Inter,2,1,1641
96,VPS,PK35_Vantaa,2,1,2966
97,PS_Kemi,KuPS,0,2,1420
98,FC_Lahti,RoPS,1,2,1887
99,Ilves,HJK,1,0,5050
100,PK35_Vantaa,IFK_Mariehamn,0,2,1098
101,HIFK,VPS,0,1,2918
102,SJK,FC_Lahti,4,1,3357
103,HJK,PK35_Vantaa,4,2,3185
104,Ilves,PS_Kemi,1,1,3821
105,RoPS,HIFK,1,0,2011
106,IFK_Mariehamn,FC_Inter,0,0,1607
107,VPS,KuPS,3,0,3689
108,HIFK,SJK,1,1,3313
109,PS_Kemi,VPS,0,0,1526
110,FC_Inter,HJK,0,0,2855
111,FC_Lahti,IFK_Mariehamn,1,1,1925
112,KuPS,RoPS,1,1,2390
113,PK35_Vantaa,Ilves,1,1,1560
114,PS_Kemi,PK35_Vantaa,2,1,1457
115,Ilves,FC_Inter,0,0,2678
116,SJK,KuPS,1,0,3578
117,HJK,FC_Lahti,2,2,2562
118,IFK_Mariehamn,HIFK,2,5,1462
119,RoPS,VPS,2,0,1777
120,FC_Inter,PK35_Vantaa,2,2,2913
121,FC_Lahti,Ilves,3,2,1787
122,HIFK,HJK,0,0,10500
123,KuPS,IFK_Mariehamn,1,0,2087
124,RoPS,PS_Kemi,5,0,3024
125,VPS,SJK,2,1,5987
126,Ilves,HIFK,3,1,2609
127,PK35_Vantaa,FC_Lahti,1,1,868
128,PS_Kemi,FC_Inter,3,1,949
129,SJK,RoPS,3,1,3675
130,VPS,IFK_Mariehamn,0,2,2321
131,HJK,KuPS,2,3,3052
132,PS_Kemi,RoPS,3,1,2273
133,SJK,Ilves,4,0,3560
134,FC_Lahti,FC_Inter,1,2,2032
135,IFK_Mariehamn,HIFK,1,0,1205
136,KuPS,PK35_Vantaa,3,0,2585
137,VPS,HJK,0,0,4321
138,HJK,PK35_Vantaa,2,0,3362
139,Ilves,RoPS,1,1,2616
140,PK35_Vantaa,PS_Kemi,0,1,803
141,FC_Inter,Ilves,0,1,1647
142,HIFK,SJK,3,1,3297
143,RoPS,FC_Lahti,3,0,1121
144,HJK,KuPS,1,0,3025
145,IFK_Mariehamn,VPS,0,0,1305
146,PS_Kemi,HJK,0,2,2023
147,FC_Lahti,PK35_Vantaa,2,0,3074
148,HIFK,VPS,0,1,2962
149,Ilves,RoPS,2,1,2915
150,KuPS,IFK_Mariehamn,2,1,2621
151,SJK,FC_Inter,1,0,4219
152,FC_Inter,HIFK,0,0,2197
153,HJK,FC_Lahti,1,4,4326
154,IFK_Mariehamn,PS_Kemi,1,0,1608
155,PK35_Vantaa,Ilves,1,3,560
156,RoPS,SJK,1,1,1710
157,VPS,KuPS,1,1,3112
158,FC_Inter,HJK,3,2,2279
159,FC_Lahti,KuPS,1,1,1471
160,HIFK,PS_Kemi,3,1,2510
161,Ilves,VPS,0,0,3270
162,RoPS,PK35_Vantaa,1,0,1323
163,SJK,IFK_Mariehamn,1,0,3839
164,PK35_Vantaa,HIFK,0,2,1230
165,PS_Kemi,FC_Lahti,2,4,1266
166,HJK,RoPS,2,1,5142
167,IFK_Mariehamn,FC_Inter,1,1,1407
168,KuPS,Ilves,1,2,2115
169,VPS,SJK,1,2,4322
170,Ilves,PS_Kemi,2,0,3622
171,RoPS,IFK_Mariehamn,1,1,1933
172,FC_Inter,VPS,1,1,1712
173,FC_Lahti,HIFK,0,0,2115
174,SJK,KuPS,1,0,3109
175,HIFK,HJK,2,1,10171
176,PS_Kemi,SJK,1,3,1722
177,FC_Lahti,Ilves,0,0,1837
178,IFK_Mariehamn,PK35_Vantaa,4,2,1501
179,KuPS,FC_Inter,0,2,1809
180,VPS,RoPS,1,0,2472
181,FC_Inter,PS_Kemi,0,0,1675
182,HJK,IFK_Mariehamn,1,1,9726
183,Ilves,HIFK,1,1,4873
184,PK35_Vantaa,VPS,1,2,220
185,RoPS,KuPS,2,1,1359
186,SJK,FC_Lahti,2,2,4021
187,FC_Inter,RoPS,1,1,2036
188,FC_Lahti,IFK_Mariehamn,0,2,2583
189,HIFK,KuPS,0,2,2887
190,Ilves,HJK,1,3,5050
191,PS_Kemi,VPS,1,4,356
192,SJK,PK35_Vantaa,5,0,4574
193,HJK,SJK,0,0,8752
194,IFK_Mariehamn,Ilves,2,1,4535
195,KuPS,PS_Kemi,1,0,1441
196,PK35_Vantaa,FC_Inter,2,1,290
197,RoPS,HIFK,0,0,1285
198,VPS,FC_Lahti,0,1,3201